,zipcode,city,quarter,region,learn_more,population_density,retail_sparsity,potential
142,80689,München,München-Hadern,Bayern,/wiki/Hadern,0.2834242634292037,0.9984688018209399,0.6716137203545183
143,81479,München,München-Thalkirchen,Bayern,/wiki/Thalkirchen-Obersendling-Forstenried-F%C3%BCrstenried-Solln,0.286530759421881,0.994435611933273,0.6710862502629272
144,81476,München,München-Forstenried,Bayern,/wiki/Thalkirchen-Obersendling-Forstenried-F%C3%BCrstenried-Solln,0.286530759421881,0.994435611933273,0.6710862502629272
145,81379,München,München-Obersendling,Bayern,/wiki/Thalkirchen-Obersendling-Forstenried-F%C3%BCrstenried-Solln,0.286530759421881,0.994435611933273,0.6710862502629272
146,81737,München,München-Perlach,Bayern,/wiki/Ramersdorf-Perlach,0.308677391648294,0.9694945296839862,0.6694956615933769
147,81549,München,München-Ramersdorf,Bayern,/wiki/Ramersdorf-Perlach,0.308677391648294,0.9694945296839862,0.6694956615933769
148,45356,Essen/Ruhr,Essen/Ruhr-Bochold,Nordrhein-Westfalen,/wiki/Bochold,0.2955863489990303,0.9822976208569607,0.6693317608788117
149,65934,Frankfurt am Main,Frankfurt am Main-Nied,Hessen,/wiki/Frankfurt-Nied,0.2779463119089597,0.9961926516099233,0.6672001197335276
150,55122,Mainz,Mainz-Hartenberg-Münchfeld,Rheinland-Pfalz,/wiki/Mainz-Hartenberg-M%C3%BCnchfeld,0.2767656250785414,0.9958804647122174,0.6663503825696538
151,97078,Würzburg,Würzburg-Lindleinsmühle,Bayern,/wiki/Lindleinsm%C3%BChle,0.2723134774534094,1.0,0.6661610610892873
152,45276,Essen/Ruhr,Essen/Ruhr-Steele,Nordrhein-Westfalen,/wiki/Steele_(Essen),0.2856789005234582,0.9860221309375132,0.6658124595224998
153,80937,München,München-Am Hart,Bayern,/wiki/Milbertshofen-Am_Hart,0.2976091561268645,0.9737003585328833,0.6655896098802205
154,80809,München,München-Milbertshofen,Bayern,/wiki/Milbertshofen-Am_Hart,0.2976091561268645,0.9737003585328833,0.6655896098802205
155,22045,Hamburg,Hamburg-Tonndorf,Hamburg,/wiki/Hamburg-Jenfeld,0.282596321962893,0.9887058819041533,0.6655854486091506
156,22043,Hamburg,Hamburg-Jenfeld,Hamburg,/wiki/Hamburg-Jenfeld,0.282596321962893,0.9887058819041533,0.6655854486091506
157,76137,Karlsruhe,Karlsruhe-Südweststadt,Baden Württemberg,/wiki/S%C3%BCdweststadt_(Karlsruhe),0.3504715705246685,0.9191919167593248,0.664652698333328
158,55116,Mainz,Mainz-Altstadt,Rheinland-Pfalz,/wiki/Mainz-Altstadt,0.3746375141228071,0.8947317093858942,0.664485204685917
159,45138,Essen/Ruhr,Essen/Ruhr-Südostviertel,Nordrhein-Westfalen,/wiki/Huttrop,0.2897491224112269,0.9793148021667785,0.6643114298765571
160,13055,Berlin,Berlin-Alt-Hohenschönhausen,Berlin,/wiki/Berlin-Alt-Hohensch%C3%B6nhausen,0.2795511561746362,0.9894079813347518,0.6642517855377091
161,60323,Frankfurt am Main,Frankfurt am Main-Westend,Hessen,/wiki/Frankfurt-Westend,0.3740667991366663,0.894006525453683,0.6637475847179302
162,12435,Berlin,Berlin-Alt-Treptow,Berlin,/wiki/Berlin-Alt-Treptow,0.2969257928472971,0.9694423204123089,0.662776985924011
163,12305,Berlin,Berlin-Lichtenrade,Berlin,/wiki/Berlin-Lichtenrade,0.2687569649460036,0.9972044263194862,0.662545481552774
164,60486,Frankfurt am Main,Frankfurt am Main-Bockenheim,Hessen,/wiki/Frankfurt-Bockenheim,0.2733299600703894,0.9894526355036247,0.660736125018111
165,60599,Frankfurt am Main,Frankfurt am Main-Oberrad,Hessen,/wiki/Frankfurt-Oberrad,0.2625289209720324,1.0,0.6605917345497319
166,51067,Köln,Köln-Holweide,Nordrhein-Westfalen,/wiki/Holweide,0.2683381171506677,0.9931342750321985,0.6599903630070862
167,01279,Dresden,Dresden-Laubegast,Sachsen,/wiki/Laubegast,0.2596940354704187,1.0,0.6589781301834237
168,"20144, 20146, 20249, 20255, 20257, 20354, 20459, 20535, 21031, 21107, 21147, 22041, 22081, 22115, 22119, 22145, 22147, 22149, 22175, 22177, 22299, 22301, 22305, 22415, 22417, 22455, 22527, 22761, 22765",Hamburg,,Hamburg,/wiki/Bezirk_Eimsb%C3%BCttel,0.2793380604953137,0.9773210476528646,0.6572506628921319
169,45149,Essen/Ruhr,Essen/Ruhr-Margarethenhöhe,Nordrhein-Westfalen,/wiki/Margarethenh%C3%B6he,0.2555921453868257,1.0,0.6566433523783821
